id,area_id,waste_type,rule_type,weekdays,nth_weeks,note,created_at,updated_at
103,21,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
104,21,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
105,21,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
106,22,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
107,22,NON_BURNABLE,NTH_WEEKDAY,WED,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
108,22,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
109,22,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
110,22,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
111,23,BURNABLE,WEEKDAY,"TUE,FRI",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
112,23,NON_BURNABLE,NTH_WEEKDAY,WED,"1,3",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
113,23,PLASTIC,WEEKDAY,MON,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
114,23,CAN_BOTTLE,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
115,23,PAPER,WEEKDAY,THU,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
116,24,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
117,24,NON_BURNABLE,NTH_WEEKDAY,THU,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
118,24,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
119,24,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
120,24,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
121,25,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
122,25,NON_BURNABLE,NTH_WEEKDAY,THU,"2,4",,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
123,25,PLASTIC,WEEKDAY,TUE,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
124,25,CAN_BOTTLE,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
125,25,PAPER,WEEKDAY,FRI,,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
126,26,BURNABLE,WEEKDAY,"WED,SAT",,,2026-01-28 01:43:41.343390,2026-01-28 01:43:41.343390
